review,clean_review
This product is amazing! I love it.,this product is amazing i love it
"Terrible quality, very disappointed.",terrible quality very disappointed
Excellent customer service and fast delivery.,excellent customer service and fast delivery
Not worth the money.,not worth the money
Absolutely fantastic experience.,absolutely fantastic experience
The product stopped working after two days.,the product stopped working after two days
Highly recommended!,highly recommended
"Average quality, nothing special.",average quality nothing special
I am extremely satisfied.,i am extremely satisfied
Worst purchase I have ever made.,worst purchase i have ever made
