review,clean_review,sentiment,confidence
This product is amazing! I love it.,this product is amazing i love it,POSITIVE,0.9998873472213745
"Terrible quality, very disappointed.",terrible quality very disappointed,NEGATIVE,0.9997968077659607
Excellent customer service and fast delivery.,excellent customer service and fast delivery,POSITIVE,0.9998478889465332
Not worth the money.,not worth the money,NEGATIVE,0.9998002648353577
Absolutely fantastic experience.,absolutely fantastic experience,POSITIVE,0.9998811483383179
The product stopped working after two days.,the product stopped working after two days,NEGATIVE,0.9996575117111206
Highly recommended!,highly recommended,POSITIVE,0.9998292922973633
"Average quality, nothing special.",average quality nothing special,NEGATIVE,0.998244047164917
I am extremely satisfied.,i am extremely satisfied,POSITIVE,0.9990925788879395
Worst purchase I have ever made.,worst purchase i have ever made,NEGATIVE,0.9997796416282654
